,index,decoder,test_context,train_context,on_off,fold,mse,date
229,229,rr,SprWrst,Mixed,mix,4,0.35988554332261463,2022-05-31
230,230,tcfnn,SprWrst,Mixed_Full,mix,4,0.2541329052304812,2022-05-31
231,231,rr,SprWrst,Mixed_Full,mix,4,0.3467661992343944,2022-05-31
232,232,tcfnn,SprWrst,Normal,off,4,0.3124949220549529,2022-05-31
233,233,rr,SprWrst,Normal,off,4,0.3730382445403812,2022-05-31
234,234,tcfnn,SprWrst,Wrist,off,4,0.37810190950142597,2022-05-31
235,235,rr,SprWrst,Wrist,off,4,0.4241245511659926,2022-05-31
236,236,tcfnn,SprWrst,SprWrst,on,4,0.24224666904856423,2022-05-31
237,237,rr,SprWrst,SprWrst,on,4,0.3348062972664458,2022-05-31
238,238,tcfnn,SprWrst,Spring,off,4,0.28147454537486943,2022-05-31
239,239,rr,SprWrst,Spring,off,4,0.3630730752207206,2022-05-31
240,0,tcfnn,Normal,Mixed,mix,0,0.23762791860352922,2022-06-02
241,1,rr,Normal,Mixed,mix,0,0.33316276172553494,2022-06-02
242,2,tcfnn,Normal,Mixed_Full,mix,0,0.23660259178049925,2022-06-02
243,3,rr,Normal,Mixed_Full,mix,0,0.32913422162527717,2022-06-02
244,4,tcfnn,Normal,Normal,on,0,0.2219209118082743,2022-06-02
245,5,rr,Normal,Normal,on,0,0.32831854356207824,2022-06-02
246,6,tcfnn,Normal,Spring,off,0,0.2608803593825558,2022-06-02
247,7,rr,Normal,Spring,off,0,0.3578653885972126,2022-06-02
248,8,tcfnn,Normal,SprWrst,off,0,0.29423098592089025,2022-06-02
249,9,rr,Normal,SprWrst,off,0,0.3800440252980086,2022-06-02
250,10,tcfnn,Normal,Wrist,off,0,0.29340107691263856,2022-06-02
251,11,rr,Normal,Wrist,off,0,0.35040941080936455,2022-06-02
252,12,tcfnn,Spring,Mixed,mix,0,0.2163253536436398,2022-06-02
253,13,rr,Spring,Mixed,mix,0,0.2955157486103902,2022-06-02
254,14,tcfnn,Spring,Mixed_Full,mix,0,0.21158074710038194,2022-06-02
255,15,rr,Spring,Mixed_Full,mix,0,0.28641040709447324,2022-06-02
256,16,tcfnn,Spring,Normal,off,0,0.23046793924224354,2022-06-02
257,17,rr,Spring,Normal,off,0,0.3290092465215684,2022-06-02
258,18,tcfnn,Spring,Spring,on,0,0.19327047227297456,2022-06-02
259,19,rr,Spring,Spring,on,0,0.2867045216913371,2022-06-02
260,20,tcfnn,Spring,SprWrst,off,0,0.21715613308532994,2022-06-02
261,21,rr,Spring,SprWrst,off,0,0.3045616691374548,2022-06-02
262,22,tcfnn,Spring,Wrist,off,0,0.2662603302736714,2022-06-02
263,23,rr,Spring,Wrist,off,0,0.3105020279420408,2022-06-02
264,24,tcfnn,Wrist,Mixed,mix,0,0.3036393009044782,2022-06-02
265,25,rr,Wrist,Mixed,mix,0,0.37803096953159115,2022-06-02
266,26,tcfnn,Wrist,Mixed_Full,mix,0,0.28472588527511766,2022-06-02
267,27,rr,Wrist,Mixed_Full,mix,0,0.37254778776926706,2022-06-02
268,28,tcfnn,Wrist,Normal,off,0,0.3082236282484384,2022-06-02
269,29,rr,Wrist,Normal,off,0,0.39134300276993583,2022-06-02
270,30,tcfnn,Wrist,Spring,off,0,0.35606383185015283,2022-06-02
271,31,rr,Wrist,Spring,off,0,0.412285040263899,2022-06-02
272,32,tcfnn,Wrist,SprWrst,off,0,0.33562759184182134,2022-06-02
273,33,rr,Wrist,SprWrst,off,0,0.4074470808249958,2022-06-02
274,34,tcfnn,Wrist,Wrist,on,0,0.33710795393179954,2022-06-02
275,35,rr,Wrist,Wrist,on,0,0.37019268477909734,2022-06-02
276,36,tcfnn,SprWrst,Mixed,mix,0,0.27108837838040434,2022-06-02
277,37,rr,SprWrst,Mixed,mix,0,0.36193687208932485,2022-06-02
278,38,tcfnn,SprWrst,Mixed_Full,mix,0,0.26723413465203144,2022-06-02
279,39,rr,SprWrst,Mixed_Full,mix,0,0.35597475227084757,2022-06-02
280,40,tcfnn,SprWrst,Normal,off,0,0.35082678996031136,2022-06-02
281,41,rr,SprWrst,Normal,off,0,0.4420825593935273,2022-06-02
282,42,tcfnn,SprWrst,Spring,off,0,0.27264946732091433,2022-06-02
283,43,rr,SprWrst,Spring,off,0,0.3650530701426545,2022-06-02
284,44,tcfnn,SprWrst,SprWrst,on,0,0.25569642125700004,2022-06-02
285,45,rr,SprWrst,SprWrst,on,0,0.34661565157738944,2022-06-02
286,46,tcfnn,SprWrst,Wrist,off,0,0.33640103795388815,2022-06-02
287,47,rr,SprWrst,Wrist,off,0,0.3857973045943879,2022-06-02
288,48,tcfnn,Normal,Mixed,mix,1,0.23514076694274738,2022-06-02
289,49,rr,Normal,Mixed,mix,1,0.3328277317686783,2022-06-02
290,50,tcfnn,Normal,Mixed_Full,mix,1,0.22603531246237482,2022-06-02
291,51,rr,Normal,Mixed_Full,mix,1,0.32953043048263125,2022-06-02
292,52,tcfnn,Normal,Normal,on,1,0.2408330446679952,2022-06-02
293,53,rr,Normal,Normal,on,1,0.326984945291402,2022-06-02
294,54,tcfnn,Normal,Spring,off,1,0.2591821873288329,2022-06-02
295,55,rr,Normal,Spring,off,1,0.354260292736827,2022-06-02
296,56,tcfnn,Normal,SprWrst,off,1,0.3059621797591555,2022-06-02
297,57,rr,Normal,SprWrst,off,1,0.3883278328061418,2022-06-02
298,58,tcfnn,Normal,Wrist,off,1,0.25683961788991816,2022-06-02
299,59,rr,Normal,Wrist,off,1,0.3517852170116257,2022-06-02
300,60,tcfnn,Spring,Mixed,mix,1,0.2071149360493269,2022-06-02
301,61,rr,Spring,Mixed,mix,1,0.29511227507015175,2022-06-02
302,62,tcfnn,Spring,Mixed_Full,mix,1,0.19808824038759454,2022-06-02
303,63,rr,Spring,Mixed_Full,mix,1,0.2872458067663935,2022-06-02
304,64,tcfnn,Spring,Normal,off,1,0.24783813167587285,2022-06-02
305,65,rr,Spring,Normal,off,1,0.3300889732928434,2022-06-02
306,66,tcfnn,Spring,Spring,on,1,0.19902069919024667,2022-06-02
307,67,rr,Spring,Spring,on,1,0.28610002869462964,2022-06-02
308,68,tcfnn,Spring,SprWrst,off,1,0.22172823620334497,2022-06-02
309,69,rr,Spring,SprWrst,off,1,0.30786786070999905,2022-06-02
310,70,tcfnn,Spring,Wrist,off,1,0.23309808063163878,2022-06-02
311,71,rr,Spring,Wrist,off,1,0.3111522735806101,2022-06-02
312,72,tcfnn,Wrist,Mixed,mix,1,0.304968185912959,2022-06-02
